FID,BLOCKID10,HOUSING10,POP10,X,Y
"7,363",420030605001002,0,0,"1,351,101.185280000100000","417,477.486478000010000"
"7,364",420031208002012,2,3,"1,366,847.127820000100000","417,496.094379000020000"
"7,365",420031208002033,0,0,"1,366,454.470179999900000","416,441.515033999980000"
"7,366",420030708002003,0,0,"1,364,983.482780000000000","416,243.948437999990000"
"7,367",420031018002004,3,2,"1,362,584.655160000100000","428,024.039667000000000"
"7,368",420035619001008,12,24,"1,371,250.771170000100000","421,966.659450999980000"
"7,369",420039818001021,0,0,"1,370,806.392100000100000","423,641.093668000020000"
"7,370",420031203001021,0,0,"1,368,647.764460000000000","421,120.065831999990000"
"7,371",420039801001024,0,0,"1,368,594.063480000000000","426,597.395974999990000"
"7,372",420031018002009,9,17,"1,359,571.848320000100000","427,178.695729000030000"
"7,373",420031018002018,17,33,"1,360,658.259349999900000","426,740.210963000020000"
"7,374",420031018001014,12,27,"1,360,214.760830000000000","426,247.405204000010000"
"7,375",420031102004020,9,21,"1,364,208.449330000000000","422,301.224015999990000"
"7,376",420031106003007,19,31,"1,365,614.985709999900000","421,856.822460000000000"
"7,377",420031014004001,17,26,"1,362,492.663669999900000","425,809.908954999990000"
"7,378",420031014003009,7,30,"1,362,208.943980000000000","423,752.025805999990000"
"7,379",420030902002005,10,14,"1,354,514.040130000100000","421,456.572629000000000"
"7,380",420031406002016,13,35,"1,370,547.337450000000000","410,555.872554000000000"
"7,381",420031303003029,0,0,"1,369,648.327190000100000","415,557.555067999990000"
"7,382",420031302001016,10,22,"1,373,272.960639999900000","416,583.851948000030000"
"7,383",420031207001014,0,0,"1,368,716.277990000100000","418,316.697519999990000"
"7,384",420031304003006,4,5,"1,374,033.798980000000000","414,089.609524999980000"
"7,385",420030501003002,26,40,"1,349,052.069760000100000","413,828.253707000000000"
"7,386",420030305002010,0,0,"1,348,725.273180000000000","410,640.721166000000000"
"7,387",420030901002007,0,0,"1,352,021.375330000000000","422,889.520991000000000"
"7,388",420031301001011,33,85,"1,373,848.039780000000000","416,945.408661000020000"
"7,389",420030501002019,20,25,"1,349,944.207489999900000","413,285.153221999990000"
"7,390",420031403003005,100,235,"1,362,929.871090000000000","410,186.746358999980000"
"7,391",420035629003018,2,5,"1,356,797.654080000000000","402,528.576772000000000"
